	plc	glx	wg789a	abg380	abc158	ksua1a	abc154a	brz	abc156d	abc455	amy2	ubi1	abc310b	psr129	abg461	cat3	abg313a	chs1b	rbcs	abg2	abg459	pox	adh8	abg19	abc162	his3c	crg3a	gln2	abc157	abc165	bdc410	pcr1	prx2	abc171	abg471	abg396	abg703a	psr156	abg377	abg453	abc307b	cdo113b	mPub	abc174	abc166	prx1b	abc172	wg622	abg313b	cdo669	bcd402b	tuba1	abg484	wg464	abg472	abg500b	abg397	bmy1	ksuh11	aga6	hor2	MWG036A	MWG837	Hor1	ABA004	cdo99	ABG053	Ica1	ABG500A	ABC164	abg494	WG789B	ABR337	Glb1	ABC160	ABG464	His3B	ABC307A	cMWG706A	ABC257	cMWG733	AtpbA	ABG702	ABC261	Cab2	Aga7	MWG912	ABG387A	psr167	nar1	abg378	cxp3	psr106	abg458	rrn1	abg474	ksud17	ksua3d	nar7	nir	psr154	abc483	abr336	abg395	rrn2	ltp1	ale	abc302	cdo57b	mSrh	abg473	cdo504	wg908	abg496	abc482	abg463
Morex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Steptoe	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
dh001	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	-	1	1	1	1	1	1	-	-	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
dh002	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	-	1	1	1	1	1	1	-	1	-	-	1	1	1	1	2	2	2	-	2	2	2	2	2	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	-	1	1	1	1	1	1	1	1	1	1	1	1	1	-	2	2	2	2
dh003	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	-	1	1	1	1	1	2	2	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1
dh004	2	2	2	2	1	1	1	1	1	1	1	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	-	2	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1
dh005	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	-	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dh006	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dh007	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	-	1	1	1	1	1	1	1	1	-	-	2	2	1	2	2	2	-	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2
dh008	1	1	1	1	1	-	1	-	1	1	1	-	1	1	2	2	1	1	1	1	1	1	1	1	1	1	-	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	-	1	-	-	1	1	1	1	1	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
